id,name,co_code,state_id/id,country_id/id
05861,VENECIA,05861,base.state_co_01,base.co
05873,VIGÍA DEL FUERTE,05873,base.state_co_01,base.co
05885,YALÍ,05885,base.state_co_01,base.co
05887,YARUMAL,05887,base.state_co_01,base.co
05890,YOLOMBÓ,05890,base.state_co_01,base.co
05893,YONDÓ,05893,base.state_co_01,base.co
05895,ZARAGOZA,05895,base.state_co_01,base.co
05861,VENECIA,05861,base.state_co_01,base.co
08001,BARRANQUILLA,08001,base.state_co_02,base.co
08078,BARANOA,08078,base.state_co_02,base.co
08137,CAMPO DE LA CRUZ,08137,base.state_co_02,base.co
08141,CANDELARIA,08141,base.state_co_02,base.co
08296,GALAPA,08296,base.state_co_02,base.co
08372,JUAN DE ACOSTA,08372,base.state_co_02,base.co
08421,LURUACO,08421,base.state_co_02,base.co
08433,MALAMBO,08433,base.state_co_02,base.co
08436,MANATÍ,08436,base.state_co_02,base.co
08520,PALMAR DE VARELA,08520,base.state_co_02,base.co
08549,PIOJÓ,08549,base.state_co_02,base.co
08558,POLONUEVO,08558,base.state_co_02,base.co
08560,PONEDERA,08560,base.state_co_02,base.co
08573,PUERTO COLOMBIA,08573,base.state_co_02,base.co
08606,REPELÓN,08606,base.state_co_02,base.co
08634,SABANAGRANDE,08634,base.state_co_02,base.co
08638,SABANALARGA,08638,base.state_co_02,base.co
08675,SANTA LUCÍA,08675,base.state_co_02,base.co
08685,SANTO TOMÁS,08685,base.state_co_02,base.co
08758,SOLEDAD,08758,base.state_co_02,base.co
08770,SUAN,08770,base.state_co_02,base.co
08832,TUBARÁ,08832,base.state_co_02,base.co
08849,USIACURÍ,08849,base.state_co_02,base.co
11001,"BOGOTÁ, D.C.",11001,base.state_co_03,base.co
13001,CARTAGENA DE INDIAS,13001,base.state_co_04,base.co
13006,ACHÍ,13006,base.state_co_04,base.co
13030,ALTOS DEL ROSARIO,13030,base.state_co_04,base.co
13042,ARENAL,13042,base.state_co_04,base.co
13052,ARJONA,13052,base.state_co_04,base.co
13062,ARROYOHONDO,13062,base.state_co_04,base.co
13074,BARRANCO DE LOBA,13074,base.state_co_04,base.co
13140,CALAMAR,13140,base.state_co_04,base.co
13160,CANTAGALLO,13160,base.state_co_04,base.co
13188,CICUCO,13188,base.state_co_04,base.co
13212,CÓRDOBA,13212,base.state_co_04,base.co
13222,CLEMENCIA,13222,base.state_co_04,base.co
13244,EL CARMEN DE BOLÍVAR,13244,base.state_co_04,base.co
13248,EL GUAMO,13248,base.state_co_04,base.co
13268,EL PEÑÓN,13268,base.state_co_04,base.co
13300,HATILLO DE LOBA,13300,base.state_co_04,base.co
13430,MAGANGUÉ,13430,base.state_co_04,base.co
13433,MAHATES,13433,base.state_co_04,base.co
13440,MARGARITA,13440,base.state_co_04,base.co
13442,MARÍA LA BAJA,13442,base.state_co_04,base.co
13458,MONTECRISTO,13458,base.state_co_04,base.co
13468,MOMPÓS,13468,base.state_co_04,base.co
13473,MORALES,13473,base.state_co_04,base.co
13490,NOROSÍ,13490,base.state_co_04,base.co
13549,PINILLOS,13549,base.state_co_04,base.co
13580,REGIDOR,13580,base.state_co_04,base.co
13600,RÍO VIEJO,13600,base.state_co_04,base.co
13620,SAN CRISTÓBAL,13620,base.state_co_04,base.co
13647,SAN ESTANISLAO,13647,base.state_co_04,base.co
13650,SAN FERNANDO,13650,base.state_co_04,base.co
13654,SAN JACINTO,13654,base.state_co_04,base.co
13655,SAN JACINTO DEL CAUCA,13655,base.state_co_04,base.co
13657,SAN JUAN NEPOMUCENO,13657,base.state_co_04,base.co
13667,SAN MARTÍN DE LOBA,13667,base.state_co_04,base.co
13670,SAN PABLO SUR,13670,base.state_co_04,base.co
13673,SANTA CATALINA,13673,base.state_co_04,base.co
13683,SANTA ROSA DE LIMA,13683,base.state_co_04,base.co
13688,SANTA ROSA DEL SUR,13688,base.state_co_04,base.co
